task,config_id,nominal_record_count,valid_phase_count,immediate_violation_rate,nominal_delayed_violation_rate,prefix_audit_candidate_count,median_intervention_window,median_post_detection_retention,replay_pass_rate,qualifies
put_the_bowl_on_the_plate,lead08_shift040mm,10,3,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead08_shift060mm,10,3,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead08_shift080mm,10,3,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead08_shift100mm,10,3,0.0,1.0,0,,,,False
put_the_bowl_on_the_plate,lead10_shift040mm,10,4,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead10_shift060mm,10,4,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead10_shift080mm,10,4,1.0,0.0,0,,,,False
put_the_bowl_on_the_plate,lead10_shift100mm,10,4,0.0,1.0,0,,,,False
put_the_bowl_on_the_plate,lead12_shift040mm,10,5,0.8,0.0,0,,,,False
put_the_bowl_on_the_plate,lead12_shift060mm,10,5,0.8,0.0,0,,,,False
put_the_bowl_on_the_plate,lead12_shift080mm,10,5,0.4,0.6,0,,,,False
put_the_bowl_on_the_plate,lead12_shift100mm,10,5,0.2,0.8,0,,,,False
put_the_bowl_on_the_plate,lead14_shift040mm,10,9,0.2222222222222222,0.1111111111111111,0,,,,False
put_the_bowl_on_the_plate,lead14_shift060mm,10,9,0.2222222222222222,0.5555555555555556,0,,,,False
put_the_bowl_on_the_plate,lead14_shift080mm,10,9,0.2222222222222222,0.7777777777777778,0,,,,False
put_the_bowl_on_the_plate,lead14_shift100mm,10,9,0.1111111111111111,0.8888888888888888,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset-02_clear035mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset-02_clear050mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset-02_clear065mm,10,10,0.0,0.1,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset-02_clear080mm,10,10,0.0,0.1,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+00_clear035mm,10,10,0.0,0.3,3,0,0.0,1.0,False
open_the_middle_drawer_of_the_cabinet,offset+00_clear050mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+00_clear065mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+00_clear080mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+02_clear035mm,10,10,0.0,0.2,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+02_clear050mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+02_clear065mm,10,10,0.0,0.0,0,,,,False
open_the_middle_drawer_of_the_cabinet,offset+02_clear080mm,10,10,0.0,0.0,0,,,,False
put_the_cream_cheese_in_the_bowl,lead08_shift040mm,10,10,0.0,0.6,6,7.0,0.5,1.0,True
put_the_cream_cheese_in_the_bowl,lead08_shift060mm,10,10,0.0,0.8,8,7.0,0.5,1.0,True
put_the_cream_cheese_in_the_bowl,lead08_shift080mm,10,10,0.0,0.9,0,,,,False
put_the_cream_cheese_in_the_bowl,lead08_shift100mm,10,10,0.0,1.0,0,,,,False
put_the_cream_cheese_in_the_bowl,lead10_shift040mm,10,10,0.0,0.5,5,9,0.6428571428571429,1.0,False
put_the_cream_cheese_in_the_bowl,lead10_shift060mm,10,10,0.0,0.6,6,9.0,0.6428571428571429,1.0,False
put_the_cream_cheese_in_the_bowl,lead10_shift080mm,10,10,0.0,0.9,0,,,,False
put_the_cream_cheese_in_the_bowl,lead10_shift100mm,10,10,0.0,1.0,0,,,,False
put_the_cream_cheese_in_the_bowl,lead12_shift040mm,10,10,0.0,0.3,3,11,0.7857142857142857,1.0,False
put_the_cream_cheese_in_the_bowl,lead12_shift060mm,10,10,0.0,0.4,4,7.0,0.5,1.0,True
put_the_cream_cheese_in_the_bowl,lead12_shift080mm,10,10,0.0,0.8,8,11.0,0.7857142857142857,1.0,False
put_the_cream_cheese_in_the_bowl,lead12_shift100mm,10,10,0.0,0.9,0,,,,False
put_the_cream_cheese_in_the_bowl,lead14_shift040mm,10,10,0.0,0.3,3,13,0.9285714285714286,1.0,False
put_the_cream_cheese_in_the_bowl,lead14_shift060mm,10,10,0.0,0.5,5,13,0.9285714285714286,1.0,False
put_the_cream_cheese_in_the_bowl,lead14_shift080mm,10,10,0.0,0.8,8,13.0,0.9285714285714286,1.0,False
put_the_cream_cheese_in_the_bowl,lead14_shift100mm,10,10,0.0,0.9,0,,,,False
